"Date","Price","Open","High","Low","Vol.","Change %"
"13-08-2007","5,250.51","5,250.51","5,250.51","5,250.51","","-1.59%"
"10-08-2007","5,335.14","5,335.14","5,335.14","5,335.14","","-1.32%"
"09-08-2007","5,406.51","5,406.51","5,406.51","5,406.51","","0.00%"
"08-08-2007","5,406.51","5,406.51","5,406.51","5,406.51","","2.46%"
"07-08-2007","5,276.76","5,276.76","5,276.76","5,276.76","","0.41%"
"06-08-2007","5,255.08","5,255.08","5,255.08","5,255.08","","-1.41%"
"03-08-2007","5,330.23","5,330.23","5,330.23","5,330.23","","1.05%"
"02-08-2007","5,274.76","5,274.76","5,274.76","5,274.76","","0.25%"
"01-08-2007","5,261.69","5,261.69","5,261.69","5,261.69","","-4.04%"
"31-07-2007","5,483.25","5,483.25","5,483.25","5,483.25","","2.00%"
"30-07-2007","5,375.74","5,375.74","5,375.74","5,375.74","","-0.12%"
"27-07-2007","5,381.97","5,381.97","5,381.97","5,381.97","","-3.77%"
"26-07-2007","5,592.81","5,592.81","5,592.81","5,592.81","","0.68%"
"25-07-2007","5,555.16","5,555.16","5,555.16","5,555.16","","-0.69%"
"24-07-2007","5,593.96","5,593.96","5,593.96","5,593.96","","0.03%"
"23-07-2007","5,592.26","5,592.26","5,592.26","5,592.26","","1.17%"
"20-07-2007","5,527.74","5,527.74","5,527.74","5,527.74","","0.09%"
"19-07-2007","5,522.95","5,522.95","5,522.95","5,522.95","","1.39%"
"18-07-2007","5,447.23","5,447.23","5,447.23","5,447.23","","0.06%"
"17-07-2007","5,443.84","5,443.84","5,443.84","5,443.84","","-0.33%"
"16-07-2007","5,462.01","5,462.01","5,462.01","5,462.01","","0.21%"
"13-07-2007","5,450.57","5,450.57","5,450.57","5,450.57","","1.32%"
"12-07-2007","5,379.66","5,379.66","5,379.66","5,379.66","","1.34%"
"11-07-2007","5,308.27","5,308.27","5,308.27","5,308.27","","-0.43%"
"10-07-2007","5,331.14","5,331.14","5,331.14","5,331.14","","-0.29%"
"09-07-2007","5,346.64","5,346.64","5,346.64","5,346.64","","0.79%"
"06-07-2007","5,304.84","5,304.84","5,304.84","5,304.84","","0.71%"
"05-07-2007","5,267.33","5,267.33","5,267.33","5,267.33","","-0.12%"
"04-07-2007","5,273.42","5,273.42","5,273.42","5,273.42","","0.04%"
"03-07-2007","5,271.30","5,271.30","5,271.30","5,271.30","","1.02%"
"02-07-2007","5,218.32","5,218.32","5,218.32","5,218.32","","-0.11%"
"29-06-2007","5,223.82","5,223.82","5,223.82","5,223.82","","0.85%"
"28-06-2007","5,179.91","5,179.91","5,179.91","5,179.91","","0.45%"
"27-06-2007","5,156.77","5,156.77","5,156.77","5,156.77","","-0.51%"
"26-06-2007","5,183.07","5,183.07","5,183.07","5,183.07","","0.62%"
"25-06-2007","5,151.26","5,151.26","5,151.26","5,151.26","","0.17%"
"22-06-2007","5,142.38","5,142.38","5,142.38","5,142.38","","-0.36%"
"21-06-2007","5,160.94","5,160.94","5,160.94","5,160.94","","0.44%"
"20-06-2007","5,138.26","5,138.26","5,138.26","5,138.26","","0.82%"
"19-06-2007","5,096.72","5,096.72","5,096.72","5,096.72","","1.62%"
"18-06-2007","5,015.45","5,015.45","5,015.45","5,015.45","","-0.58%"
"15-06-2007","5,044.90","5,044.90","5,044.90","5,044.90","","0.05%"
"14-06-2007","5,042.38","5,042.38","5,042.38","5,042.38","","1.42%"
"13-06-2007","4,971.76","4,971.76","4,971.76","4,971.76","","-0.99%"
"12-06-2007","5,021.28","5,021.28","5,021.28","5,021.28","","0.25%"
